id,2,3,4,5,6,7,8,9,10,11,total,success,user_id
1,"{""total"": 10, ""success"": 10}","{""total"": 15, ""success"": 10}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,25,20,1
2,"{""total"": 14, ""success"": 13}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,14,13,2
3,"{""total"": 14, ""success"": 10}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,14,10,3
4,"{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,0,0,4
5,"{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,0,0,5
6,"{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,0,0,6
7,"{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 1, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,0,7,7
26,"{""total"": 4, ""success"": 3}","{""total"": 2, ""success"": 2}","{""total"": 3, ""success"": 3}","{""total"": 3, ""success"": 3}","{""total"": 6, ""success"": 5}","{""total"":12, ""success"": 8}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,53,24,8
13,"{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 4, ""success"": 4}","{""total"": 2, ""success"": 2}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,11,6,9
18,"{""total"": 2, ""success"": 2}","{""total"": 5, ""success"": 4}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,12,6,10
21,"{""total"": 4, ""success"": 4}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 1, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,8,4,11
10,"{""total"": 0, ""success"": 2}","{""total"": 0, ""success"": 1}","{""total"": 0, ""success"": 1}","{""total"": 3, ""success"": 5}","{""total"": 2, ""success"": 2}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,15,11,12
8,"{""total"": 2, ""success"": 2}","{""total"":40, ""success"": 4}","{""total"": 3, ""success"": 1}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}","{""total"": 0, ""success"": 0}",,15,7,13
,"{""total"": 0, ""success"": 8}","{""total"": 0, ""success"": 7}","{""total"": 0, ""success"": 6}","{""total"": 0, ""success"": 5}","{""total"": 0, ""success"": 4}","{""total"": 0, ""success"": 3}","{""total"": 0, ""success"": 2}","{""total"": 0, ""success"": 1}","{""total"": 0, ""success"": 0}",,0,0,14
